,rank,link,year,director,avg_rating,num_of_ratings,people_watched,people_wants_to_watch,num_comment,num_reviews,Chinese_title,movie_length,main_country_region,main_language
79,80,https://movie.douban.com/subject/1292343/,2004,埃里克·布雷斯,8.7,495936,734317,135496,84620,2327,蝴蝶效应,113,美国,英语
80,81,https://movie.douban.com/subject/1292679/,1997,王家卫,8.9,328208,433198,133204,70242,2223,春光乍泄,96,香港,粤语
81,82,https://movie.douban.com/subject/1305487/,2002,史蒂文·斯皮尔伯格,8.8,337908,448570,105205,60274,788,猫鼠游戏,141,美国,英语
82,83,https://movie.douban.com/subject/1292656/,1997,格斯·范·桑特,8.8,359653,473743,133775,65267,2017,心灵捕手,126,美国,英语
83,84,https://movie.douban.com/subject/2149806/,2008,泷田洋二郎,8.8,377648,506979,119628,70895,3593,入殓师,130,日本,日语
84,85,https://movie.douban.com/subject/11525673/,2014,韦斯·安德森,8.8,440929,544881,145540,106588,893,布达佩斯大饭店,99,美国,英语
85,86,https://movie.douban.com/subject/2334904/,2010,马丁·斯科塞斯,8.7,478529,638216,100060,92829,1715,禁闭岛,138,美国,英语
86,87,https://movie.douban.com/subject/3008247/,2008,马克·赫尔曼,9.0,216074,281350,129910,49375,1164,穿条纹睡衣的男孩,94,英国,英语
87,88,https://movie.douban.com/subject/1297359/,1997,宫崎骏,8.8,302878,407751,63486,39394,660,幽灵公主,134,日本,日语
88,89,https://movie.douban.com/subject/1291875/,1994,姜文,8.8,347863,488717,110918,60421,1429,阳光灿烂的日子,134,中国大陆,汉语普通话
89,90,https://movie.douban.com/subject/3072124/,2009,亚当·艾略特,8.9,272908,347386,136240,66210,2491,玛丽和马克思,92,澳大利亚,英语
90,91,https://movie.douban.com/subject/1297630/,1999,M·奈特·沙马兰,8.8,298271,376400,118485,60701,776,第六感,107,美国,英语
91,92,https://movie.douban.com/subject/1652587/,2009,詹姆斯·卡梅隆,8.7,699045,987509,58952,122518,4209,阿凡达,162,美国,英语
92,93,https://movie.douban.com/subject/6985810/,2012,托马斯·温特伯格,9.1,178021,226459,172815,52002,1629,狩猎,115,丹麦,丹麦语
93,94,https://movie.douban.com/subject/1297192/,2003,詹姆斯·曼高德,8.7,413667,521602,102175,79950,947,致命ID,90,美国,英语
94,95,https://movie.douban.com/subject/1291999/,1994,王家卫,8.7,425886,585769,116478,89761,2038,重庆森林,102,香港,粤语
95,96,https://movie.douban.com/subject/1418834/,2005,李安,8.7,409306,553862,108481,76583,2153,断背山,134,美国,英语
96,97,https://movie.douban.com/subject/1298070/,2003,戈尔·维宾斯基,8.7,462672,660012,29596,47233,331,加勒比海盗,143,美国,英语
97,98,https://movie.douban.com/subject/1294371/,1936,查理·卓别林,9.2,127931,208061,80979,16273,268,摩登时代,87,美国,英语
98,99,https://movie.douban.com/subject/4268598/,2010,中岛哲也,8.7,429935,548515,111690,116902,2771,告白,106,日本,日语
99,100,https://movie.douban.com/subject/1291545/,2003,蒂姆·波顿,8.8,317793,410722,140689,63314,1707,大鱼,125,美国,英语
100,101,https://movie.douban.com/subject/1292434/,2000,杨德昌,9.0,193324,255333,175515,51986,2563,一一,173,台湾,汉语普通话
101,102,https://movie.douban.com/subject/1302425/,1999,周星驰,8.6,443221,642419,49210,63302,1126,喜剧之王,85,香港,粤语
102,103,https://movie.douban.com/subject/21318488/,2014,大卫·芬奇,8.7,471207,570980,141478,127579,2046,消失的爱人,149,美国,英语
103,104,https://movie.douban.com/subject/1316510/,1993,刘镇伟,8.7,348317,490328,38323,54933,316,射雕英雄传之东成西就,113,香港,粤语
104,105,https://movie.douban.com/subject/1305164/,1996,陈可辛,8.8,283714,383735,98310,58419,1759,甜蜜蜜,118,香港,粤语
105,106,https://movie.douban.com/subject/4917726/,2011,姜炯哲,8.8,342811,493054,101261,85332,1639,阳光姐妹淘,124,韩国,韩语
106,107,https://movie.douban.com/subject/1296339/,1995,理查德·林克莱特,8.8,289329,369044,161379,71439,1992,爱在黎明破晓前,101,美国,英语
107,108,https://movie.douban.com/subject/25814705/,2014,森淳一,8.9,193435,253736,97017,50498,848,小森林,111,日本,日语
108,109,https://movie.douban.com/subject/1297052/,1995,近藤喜文,8.8,225544,294584,74586,46505,1190,侧耳倾听,111,日本,日语
109,110,https://movie.douban.com/subject/1865703/,2006,今敏,8.9,183861,225904,103368,44239,509,红辣椒,90,日本,日语
110,111,https://movie.douban.com/subject/1297447/,1987,程小东,8.7,351262,621769,43863,47378,497,倩女幽魂,98,香港,粤语
111,112,https://movie.douban.com/subject/21360417/,2013,金秉祐,8.7,309271,414024,90572,72429,923,恐怖直播,97,韩国,韩语
