rank,link,title,year,director,length,country_region,language,avg_rating,num_of_ratings,people_watched,people_wants_to_watch,num_comment,num_reviews
63,https://movie.douban.com/subject/20495023/,寻梦环游记 Coco,2017,李·昂克里奇,105,美国,英语 / 西班牙语,9.0,683138,819548,84476,212698,5323
64,https://movie.douban.com/subject/1291843/,黑客帝国 The Matrix,1999,莉莉·沃卓斯基,136,美国 / 澳大利亚,英语,8.9,385171,593886,90143,51283,666
65,https://movie.douban.com/subject/1292402/,西西里的美丽传说 Malèna,2000,朱塞佩·托纳多雷,109 ,意大利 / 美国,意大利语 / 英语 / 拉丁语 / 古希腊语,8.8,484266,660745,139397,91740,2991
66,https://movie.douban.com/subject/1292223/,七宗罪 Se7en,1995,大卫·芬奇,127,美国,英语 / 葡萄牙语,8.8,544434,733389,127974,82364,1585
67,https://movie.douban.com/subject/1780330/,致命魔术 The Prestige,2006,克里斯托弗·诺兰,130,美国 / 英国,英语,8.8,450819,565936,118044,87084,1453
68,https://movie.douban.com/subject/3742360/,让子弹飞,2010,姜文,132,中国大陆 / 香港,汉语普通话 / 四川话 / 山西话,8.7,843226,1222336,73555,165653,4691
69,https://movie.douban.com/subject/26580232/,看不见的客人 Contratiempo,2016,奥里奥尔·保罗,106,西班牙,西班牙语,8.7,531648,639377,128990,145734,2195
70,https://movie.douban.com/subject/1292849/,拯救大兵瑞恩 Saving Private Ryan,1998,史蒂文·斯皮尔伯格,169,美国,英语 / 法语 / 德语 / 捷克语,8.9,328237,465162,91994,41784,714
71,https://movie.douban.com/subject/1787291/,被嫌弃的松子的一生 嫌われ松子の一生,2006,中岛哲也,130 ,日本,日语,8.9,398099,523947,170691,112324,6087
72,https://movie.douban.com/subject/1418019/,大闹天宫,1961,万籁鸣,114,中国大陆,汉语普通话,9.3,156163,256926,55689,16793,124
73,https://movie.douban.com/subject/1295038/,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,2001,克里斯·哥伦布,152,美国 / 英国,英语,8.9,397685,541671,22481,46474,360
74,https://movie.douban.com/subject/1294408/,音乐之声 The Sound of Music,1965,罗伯特·怀斯,174,美国,英语 / 德语,9.0,303012,424281,55602,36190,331
75,https://movie.douban.com/subject/1291832/,低俗小说 Pulp Fiction,1994,昆汀·塔伦蒂诺,154,美国,英语 / 西班牙语 / 法语,8.8,442400,580933,156301,85126,1233
76,https://movie.douban.com/subject/1292215/,天使爱美丽 Le fabuleux destin d'Amélie Poulain,2001,让-皮埃尔·热内,122,法国 / 德国,法语 / 俄语,8.7,605265,904915,141071,114732,2293
77,https://movie.douban.com/subject/1294639/,勇敢的心 Braveheart,1995,梅尔·吉布森,177 ,美国,英语 / 法语 / 拉丁语 / 苏格兰盖尔语,8.8,360416,514079,93671,57920,991
78,https://movie.douban.com/subject/1293544/,沉默的羔羊 The Silence of the Lambs,1991,乔纳森·戴米,118,美国,英语,8.8,449783,612733,108432,66733,751
79,https://movie.douban.com/subject/1292370/,剪刀手爱德华 Edward Scissorhands,1990,蒂姆·波顿,105,美国,英语,8.7,617230,866908,96178,97834,1877
80,https://movie.douban.com/subject/1292343/,蝴蝶效应 The Butterfly Effect,2004,埃里克·布雷斯,113,美国 / 加拿大,英语,8.7,495936,734317,135496,84620,2327
81,https://movie.douban.com/subject/1292679/,春光乍泄 春光乍洩,1997,王家卫,96,香港 / 日本 / 韩国,粤语 / 汉语普通话 / 西班牙语,8.9,328208,433198,133204,70242,2223
82,https://movie.douban.com/subject/1305487/,猫鼠游戏 Catch Me If You Can,2002,史蒂文·斯皮尔伯格,141 ,美国 / 加拿大,英语 / 法语,8.8,337908,448570,105205,60274,788
83,https://movie.douban.com/subject/1292656/,心灵捕手 Good Will Hunting,1997,格斯·范·桑特,126 ,美国,英语,8.8,359653,473743,133775,65267,2017
84,https://movie.douban.com/subject/2149806/,入殓师 おくりびと,2008,泷田洋二郎,130 ,日本,日语,8.8,377648,506979,119628,70895,3593
85,https://movie.douban.com/subject/11525673/,布达佩斯大饭店 The Grand Budapest Hotel,2014,韦斯·安德森,99,美国 / 德国 / 英国,英语 / 法语 / 德语,8.8,440929,544881,145540,106588,893
86,https://movie.douban.com/subject/2334904/,禁闭岛 Shutter Island,2010,马丁·斯科塞斯,138 ,美国,英语 / 德语,8.7,478529,638216,100060,92829,1715
87,https://movie.douban.com/subject/3008247/,穿条纹睡衣的男孩 The Boy in the Striped Pajamas,2008,马克·赫尔曼,94,英国 / 美国,英语 / 西班牙语,9.0,216074,281350,129910,49375,1164
88,https://movie.douban.com/subject/1297359/,幽灵公主 もののけ姫,1997,宫崎骏,134,日本,日语,8.8,302878,407751,63486,39394,660
89,https://movie.douban.com/subject/1291875/,阳光灿烂的日子,1994,姜文,134分钟(中国大,中国大陆 / 香港,汉语普通话,8.8,347863,488717,110918,60421,1429
90,https://movie.douban.com/subject/3072124/,玛丽和马克思 Mary and Max,2009,亚当·艾略特,92,澳大利亚,英语 / 意第绪语,8.9,272908,347386,136240,66210,2491
91,https://movie.douban.com/subject/1297630/,第六感 The Sixth Sense,1999,M·奈特·沙马兰,107,美国,英语 / 拉丁语 / 西班牙语,8.8,298271,376400,118485,60701,776
92,https://movie.douban.com/subject/1652587/,阿凡达 Avatar,2009,詹姆斯·卡梅隆,162,美国 / 英国,英语 / 西班牙语,8.7,699045,987509,58952,122518,4209
93,https://movie.douban.com/subject/6985810/,狩猎 Jagten,2012,托马斯·温特伯格,115,丹麦 / 瑞典,丹麦语 / 英语 / 波兰语,9.1,178021,226459,172815,52002,1629
94,https://movie.douban.com/subject/1297192/,致命ID Identity,2003,詹姆斯·曼高德,90,美国,英语,8.7,413667,521602,102175,79950,947
95,https://movie.douban.com/subject/1291999/,重庆森林 重慶森林,1994,王家卫,102,香港,粤语 / 汉语普通话 / 英语 / 印地语 / 日语,8.7,425886,585769,116478,89761,2038
96,https://movie.douban.com/subject/1418834/,断背山 Brokeback Mountain,2005,李安,134,美国 / 加拿大,英语,8.7,409306,553862,108481,76583,2153
97,https://movie.douban.com/subject/1298070/,加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,2003,戈尔·维宾斯基,143 ,美国,英语,8.7,462672,660012,29596,47233,331
98,https://movie.douban.com/subject/1294371/,摩登时代 Modern Times,1936,查理·卓别林,87,美国,英语,9.2,127931,208061,80979,16273,268
99,https://movie.douban.com/subject/4268598/,告白,2010,中岛哲也,106,日本,日语,8.7,429935,548515,111690,116902,2771
100,https://movie.douban.com/subject/1291545/,大鱼 Big Fish,2003,蒂姆·波顿,125 ,美国,英语 / 法语 / 俄语 / 粤语 / 汉语普通话,8.8,317793,410722,140689,63314,1707
101,https://movie.douban.com/subject/1292434/,一一,2000,杨德昌,173,台湾 / 日本,汉语普通话 / 闽南语 / 英语 / 日语,9.0,193324,255333,175515,51986,2563
102,https://movie.douban.com/subject/1302425/,喜剧之王 喜劇之王,1999,周星驰,85,香港,粤语,8.6,443221,642419,49210,63302,1126
103,https://movie.douban.com/subject/21318488/,消失的爱人 Gone Girl,2014,大卫·芬奇,149,美国,英语,8.7,471207,570980,141478,127579,2046
104,https://movie.douban.com/subject/1316510/,射雕英雄传之东成西就 射鵰英雄傳之東成西就,1993,刘镇伟,113分钟(香,香港,粤语,8.7,348317,490328,38323,54933,316
105,https://movie.douban.com/subject/1305164/,甜蜜蜜,1996,陈可辛,118分钟(中国大,香港,粤语 / 汉语普通话 / 英语,8.8,283714,383735,98310,58419,1759
106,https://movie.douban.com/subject/4917726/,阳光姐妹淘 써니,2011,姜炯哲,124,韩国,韩语,8.8,342811,493054,101261,85332,1639
107,https://movie.douban.com/subject/1296339/,爱在黎明破晓前 Before Sunrise,1995,理查德·林克莱特,101,美国 / 奥地利 / 瑞士,英语 / 德语 / 法语,8.8,289329,369044,161379,71439,1992
108,https://movie.douban.com/subject/25814705/,小森林 夏秋篇 リトル・フォレスト 夏・秋,2014,森淳一,111,日本,日语,8.9,193435,253736,97017,50498,848
109,https://movie.douban.com/subject/1297052/,侧耳倾听 耳をすませば,1995,近藤喜文,111,日本,日语 / 英语,8.8,225544,294584,74586,46505,1190
110,https://movie.douban.com/subject/1865703/,红辣椒 パプリカ,2006,今敏,90 ,日本,日语,8.9,183861,225904,103368,44239,509
111,https://movie.douban.com/subject/1297447/,倩女幽魂,1987,程小东,98分钟(香,香港,粤语,8.7,351262,621769,43863,47378,497
112,https://movie.douban.com/subject/21360417/,恐怖直播 더 테러 라이브,2013,金秉祐,97,韩国,韩语,8.7,309271,414024,90572,72429,923
113,https://movie.douban.com/subject/1292208/,上帝之城 Cidade de Deus,2002,卡迪亚·兰德,130,巴西 / 法国,葡萄牙语,8.9,186715,244944,104039,32776,604
114,https://movie.douban.com/subject/1291585/,风之谷 風の谷のナウシカ,1984,宫崎骏,117,日本,日语,8.8,223550,306066,61037,27387,395
115,https://movie.douban.com/subject/5322596/,超脱 Detachment,2011,托尼·凯耶,97,美国,英语,8.8,229350,294054,185242,63688,1754
116,https://movie.douban.com/subject/1291990/,爱在日落黄昏时 Before Sunset,2004,理查德·林克莱特,80 ,美国,英语 / 法语,8.8,253448,329859,169575,58264,1820
117,https://movie.douban.com/subject/26799731/,请以你的名字呼唤我 Call Me by Your Name,2017,卢卡·瓜达尼诺,132,意大利 / 法国 / 巴西 / 美国 / 荷兰 / 德国,英语 / 意大利语 / 法语 / 德语 / 希伯来语,8.8,273481,321874,185915,97255,3375
118,https://movie.douban.com/subject/2353023/,驯龙高手 How to Train Your Dragon,2010,迪恩·德布洛斯,98,美国,英语,8.7,375919,479906,61916,64193,793
119,https://movie.douban.com/subject/1293359/,菊次郎的夏天 菊次郎の夏,1999,北野武,121 ,日本,日语,8.8,247170,357840,174699,57887,1427
120,https://movie.douban.com/subject/1292274/,幸福终点站 The Terminal,2004,史蒂文·斯皮尔伯格,128,美国,英语 / 俄语 / 法语 / 保加利亚语,8.7,281637,376642,86408,45349,971
121,https://movie.douban.com/subject/3011235/,哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,2011,大卫·叶茨,130,美国 / 英国,英语,8.7,364248,496364,35628,76528,2012
122,https://movie.douban.com/subject/1300299/,杀人回忆 살인의 추억,2003,奉俊昊,130,韩国,韩语,8.7,269887,339040,95660,59073,1066
